"행정구역별(1)",2022,2022
"행정구역별(1)",상용 월평균 임금 (원),임금상승률 (%)
"전국",3717328,3.8
"서울특별시",4082853,4.6
"부산광역시",3404468,3.5
"대구광역시",3202101,3.5
"인천광역시",3418862,3.3
"광주광역시",3284566,4.6
"대전광역시",3556267,4.6
"울산광역시",3725381,6.0
"세종특별자치시",3685371,4.4
"경기도",3751651,3.9
"강원도",3285138,3.7
"충청북도",3439403,3.8
"충청남도",3669868,2.9
"전라북도",3192759,3.6
"전라남도",3445263,2.8
"경상북도",3563537,3.2
"경상남도",3560180,4.7
"제주특별자치도",3036703,4.5
