"기준년월","시군구","평균소득월액"
"2020-05","전라남도순천시","1311791"
"2020-05","전라남도나주시","1212482"
"2020-05","전라남도광양시","1315744"
"2020-05","전라남도담양군","1212223"
"2020-05","전라남도곡성군","1175306"
"2020-05","전라남도구례군","1170677"
"2020-05","전라남도고흥군","1158239"
"2020-05","전라남도보성군","1191143"
"2020-05","전라남도화순군","1214614"
"2020-05","전라남도장흥군","1193804"
"2020-05","전라남도강진군","1180093"
"2020-05","전라남도해남군","1226951"
"2020-05","전라남도영암군","1132656"
"2020-05","전라남도무안군","1168093"
"2020-05","전라남도함평군","1204352"
"2020-05","전라남도영광군","1211287"
"2020-05","전라남도장성군","1215456"
"2020-05","전라남도완도군","1231860"
"2020-05","전라남도진도군","1190887"
"2020-05","전라남도신안군","1165298"
"2020-05","경상북도포항시","1301991"
"2020-05","경상북도경주시","1266007"
"2020-05","경상북도김천시","1233524"
"2020-05","경상북도안동시","1235582"
"2020-05","경상북도구미시","1289442"
"2020-05","경상북도영주시","1229667"
"2020-05","경상북도영천시","1221917"
"2020-05","경상북도상주시","1212026"
"2020-05","경상북도문경시","1225542"
"2020-05","경상북도경산시","1280563"
"2020-05","경상북도군위군","1211067"
"2020-05","경상북도의성군","1150474"
"2020-05","경상북도청송군","1124647"
"2020-05","경상북도영양군","1139935"
"2020-05","경상북도영덕군","1272586"
"2020-05","경상북도청도군","1181957"
"2020-05","경상북도고령군","1250595"
"2020-05","경상북도성주군","1217616"
"2020-05","경상북도칠곡군","1283258"
"2020-05","경상북도예천군","1231562"
"2020-05","경상북도봉화군","1181237"
"2020-05","경상북도울진군","1378143"
"2020-05","경상북도울릉군","1345716"
"2020-05","경상남도창원시","1288860"
"2020-05","경상남도진주시","1258146"
"2020-05","경상남도통영시","1280328"
"2020-05","경상남도사천시","1232660"
"2020-05","경상남도김해시","1315568"
"2020-05","경상남도밀양시","1208003"
"2020-05","경상남도거제시","1265059"
"2020-05","경상남도양산시","1293735"
"2020-05","경상남도의령군","1197442"
"2020-05","경상남도함안군","1297042"
"2020-05","경상남도창녕군","1223798"
"2020-05","경상남도고성군","1198000"
"2020-05","경상남도남해군","1198237"
"2020-05","경상남도하동군","1217884"
"2020-05","경상남도산청군","1217838"
"2020-05","경상남도함양군","1197359"
"2020-05","경상남도거창군","1207830"
"2020-05","경상남도합천군","1192591"
"2020-05","제주특별자치도제주시","1299830"
"2020-05","제주특별자치도서귀포시","1293362"
